Sample Number (1000 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),temp (°C)
0,1629405072920,24.75
1,1629405073107,24.0
2,1629405073307,24.25
3,1629405073509,24.25
4,1629405073709,24.5
5,1629405073908,24.25
6,1629405074110,24.25
7,1629405074311,24.0
8,1629405074512,24.5
9,1629405074712,24.25
10,1629405074914,24.25
11,1629405075114,24.25
12,1629405075315,24.0
13,1629405075515,24.5
14,1629405075716,24.5
15,1629405075918,24.25
16,1629405076117,24.5
17,1629405076318,24.25
18,1629405076519,24.0
19,1629405076720,24.25
20,1629405076920,24.25
21,1629405077122,24.0
22,1629405077322,24.5
23,1629405077522,24.5
24,1629405077724,24.25
25,1629405077924,24.25
26,1629405078125,24.25
27,1629405078325,24.25
28,1629405078525,24.0
29,1629405078731,24.25
30,1629405078931,24.5
31,1629405079131,24.0
32,1629405741754,33.25
33,1629405741956,34.0
34,1629405742155,34.0
35,1629405742357,33.5
36,1629405742558,33.75
37,1629405742758,33.5
38,1629405742959,33.75
39,1629405743159,33.75
40,1629405743360,33.75
41,1629405743561,33.5
42,1629405743763,34.25
43,1629405743964,33.5
44,1629405744163,33.5
45,1629405744363,33.5
46,1629405744566,33.5
47,1629405744766,33.75
48,1629405744967,33.5
49,1629405745168,33.75
50,1629405745368,33.5
51,1629405745568,33.75
52,1629405745769,33.75
53,1629405745970,33.25
54,1629405746170,33.75
55,1629405746372,32.75
56,1629405746571,33.5
57,1629405746773,33.25
58,1629405746974,34.0
59,1629405747175,33.5
60,1629405747374,33.5
61,1629405747578,33.75
62,1629405747777,33.5
63,1629405747978,33.75
64,1629405748179,33.75
65,1629405748378,33.5
66,1629405748579,33.75
67,1629405748780,33.5
68,1629405748981,33.75
69,1629405749182,34.0
70,1629405749383,33.5
71,1629405749584,34.0
72,1629405749784,33.25
73,1629405749984,33.75
74,1629405750185,33.25
75,1629405750387,33.5
76,1629405750587,33.75
77,1629405750787,33.0
78,1629405750989,33.75
79,1629405751188,33.5
80,1629405751389,33.75
81,1629405751590,33.5
82,1629405751792,33.0
83,1629405751993,33.25
84,1629405752193,33.25
85,1629405752392,33.0
86,1629405752595,33.5
87,1629405752795,33.5
88,1629405752996,33.5
89,1629405753196,33.5
90,1629405753396,33.25
91,1629405753599,33.5
92,1629405753798,33.25
93,1629405753999,33.5
94,1629405754199,33.75
95,1629405754405,33.5
96,1629405754604,33.5
97,1629405754807,32.75
98,1629405755006,33.25
99,1629405755208,33.25
100,1629405755408,33.5
101,1629405755610,33.5
102,1629405755810,33.25
103,1629405756009,33.5
104,1629405756211,33.75
105,1629405756412,33.5
106,1629405756612,33.25
107,1629405756812,33.25
108,1629405757014,33.5
109,1629405757215,33.5
110,1629405757415,33.0
111,1629405757615,33.75
112,1629405757816,33.5
113,1629405758018,33.5
114,1629405758218,33.5
115,1629405758420,33.25
116,1629405758620,33.5
117,1629405758820,33.5
118,1629405759021,33.5
119,1629405759222,33.5
120,1629405759422,33.5
121,1629405759623,33.5
122,1629405759824,33.25
123,1629405760025,33.25
124,1629405760225,33.25
125,1629405760426,33.0
126,1629405760628,33.25
127,1629405760827,33.5
128,1629405761028,33.25
129,1629405761229,33.5
130,1629405761430,33.0
131,1629405761631,33.25
132,1629405761831,33.0
133,1629405762031,33.5
134,1629405762232,33.25
135,1629405762434,33.25
136,1629405762633,33.25
137,1629405762835,33.5
138,1629405763037,33.5
139,1629405763236,33.5
140,1629405763437,33.5
141,1629405763638,33.25
142,1629405763839,33.5
143,1629405764039,33.25
144,1629405764239,33.5
145,1629405764440,33.0
146,1629405764641,33.25
147,1629405764842,33.25
148,1629405765042,33.5
149,1629405765242,33.5
150,1629405765445,32.5
151,1629405765645,33.0
152,1629405765846,33.0
153,1629405766045,33.25
154,1629405766247,32.75
155,1629405766447,33.0
156,1629405766649,33.5
157,1629405766849,33.0
158,1629405767049,33.25
159,1629405767250,32.75
160,1629405767450,33.25
161,1629405767652,32.75
162,1629405767858,33.0
163,1629405768058,33.25
164,1629405768259,33.0
165,1629405768459,32.5
166,1629405768659,33.25
167,1629405768861,33.0
168,1629405769062,33.25
169,1629405769262,33.25
170,1629405769462,33.25
171,1629405769664,33.25
172,1629405769864,33.0
173,1629405770065,33.25
174,1629405770264,33.0
175,1629405770466,33.25
176,1629405770667,32.75
177,1629405770869,33.0
178,1629405771068,33.25
179,1629405771270,33.25
180,1629405771469,33.0
181,1629405771670,33.25
182,1629405771871,33.25
183,1629405772071,33.25
184,1629405772273,33.25
185,1629405772474,33.5
186,1629405772674,33.0
187,1629405772874,33.25
188,1629405773075,33.0
189,1629405773277,32.75
190,1629405773477,33.25
191,1629405773677,33.25
192,1629405773878,32.75
193,1629405774080,33.0
194,1629405774281,33.25
195,1629405774480,33.0
196,1629405774683,32.75
197,1629405774882,33.25
198,1629405775083,33.25
199,1629405775282,33.0
200,1629405775484,33.5
201,1629405775685,33.0
202,1629405775885,32.75
203,1629405776085,33.0
204,1629405776286,33.0
205,1629405776488,33.5
206,1629405776690,33.0
207,1629405776889,33.0
208,1629405777090,33.0
209,1629405777290,33.25
210,1629405777492,33.25
211,1629405777692,33.25
212,1629405777892,33.0
213,1629405778094,33.25
214,1629405778295,32.75
215,1629405778494,33.0
216,1629405778695,32.75
217,1629405778896,33.0
218,1629405779096,33.0
219,1629405779297,33.25
220,1629405779498,33.25
221,1629405779699,33.0
222,1629405779900,33.25
223,1629405780101,32.25
224,1629405780301,33.0
225,1629405780502,33.5
226,1629405780702,33.0
227,1629405780907,33.0
228,1629405781109,32.75
229,1629405781309,33.0
230,1629405781510,33.0
231,1629405781710,33.0
232,1629405781911,32.75
233,1629405782111,33.0
234,1629405782312,32.75
235,1629405782513,33.0
236,1629405782715,32.5
237,1629405782914,33.25
238,1629405783115,33.0
239,1629405783316,32.75
240,1629405783517,33.0
241,1629405783717,33.25
242,1629405783920,33.0
243,1629405784118,33.0
244,1629405784319,32.75
245,1629405784521,33.25
246,1629405784721,33.25
